combine w/,team table,,,,OLDentryid,entryid,Year,orgid,Class,Team,Place,buggyid,Prelim,Reroll,Final,Fin Reroll,DQ,Note,PreDriver,PreH1,PreH2,PreH3,PreH4,PreH5,RRDriver,RRH1,RRH2,RRH3,RRH4,RRH5,FinDriver,FinH1,FinH2,FinH3,FinH4,FinH5,FinRRDriver,FinRRH1,FinRRH2,FinRRH3,FinRRH4,FinRRH5
,,,,,1397,1953.DTD.MA,1953,DTD,M,A,2,0,0,0,150.6,0,0,Verify time? Very close to 1st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1420,1953.PKA.MA,1953,PKA,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,750,1954.ATO.MA,1954,ATO,M,A,1,andy,0,0,148.1,0,0,Course Record,1795,1790,1791,1792,1793,1794,0,0,0,0,0,0,1795,1790,1791,1792,1793,1794,0,0,0,0,0,0
,,,,,1433,1954.DTD.MA,1954,DTD,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1434,1954.PKA.MA,1954,PKA,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,749,1955.ATO.MA,1955,ATO,M,A,1,goldengoose,146,0,0,0,0,Course Record,1798,1790,1791,1796,1793,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1384,1955.ATO.MB,1955,ATO,M,B,2,andy,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1405,1955.KS.MA,1955,KS,M,A,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1406,1955.KS.MB,1955,KS,M,B,6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1421,1955.PKA.MA,1955,PKA,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1422,1955.PKA.MB,1955,PKA,M,B,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,748,1956.ATO.MA,1956,ATO,M,A,1,andy,0,0,145,0,0,Course Record. Stood for 11 years,1801,1793,1790,1796,1799,1800,0,0,0,0,0,0,1801,1793,1790,1796,1799,1800,0,0,0,0,0,0
,,,,,2,1956.PKA.MA,1956,PKA,M,A,2,cheetah,150.9,0,150.2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
,,,,,1,1956.PKA.MB,1956,PKA,M,B,3,shark,152,0,152.6,0,0,,1,2,3,4,5,6,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0
,,,,,747,1957.ATO.MA,1957,ATO,M,A,1,goldengoose,145,0,0,0,0,Tied course record,1806,1793,1802,1803,1804,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1386,1957.BTP.MA,1957,BTP,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,4,1957.PKA.MB,1957,PKA,M,B,0,cheetah,162.4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,3,1957.PKA.MA,1957,PKA,M,A,2,shark,149.4,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,746,1958.ATO.MA,1958,ATO,M,A,1,goldengoose,0,0,148.4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1385,1958.ATO.MB,1958,ATO,M,B,3,andy,0,0,165,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,5,1958.PKA.MB,1958,PKA,M,B,0,cheetah,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,6,1958.PKA.MA,1958,PKA,M,A,2,shark,156.8,0,163,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
,,,,,,1959.ATO.MA,1959,ATO,M,A,0,andy2,0,149.5,0,0,Pacing,First run invalidated due to timing error (crowd obscured judges' view of start line). Reroll. DQ.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,7,1959.PKA.MB,1959,PKA,M,B,0,cheetah,152.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,8,1959.PKA.MA,1959,PKA,M,A,1,shark,149.7,0,0,0,0,,0,8,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1408,1959.PKT.MA,1959,PKT,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1430,1959.SN.MA,1959,SN,M,A,2,0,150.3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,745,1960.ATO.MA,1960,ATO,M,A,1,goldengoose,0,0,154.5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1407,1960.MDC.MA,1960,MDC,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,10,1960.PKA.MB,1960,PKA,M,B,0,cheetah,0,0,0,0,0,,16,17,18,19,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,9,1960.PKA.MA,1960,PKA,M,A,3,shark,152.4,0,161.8,0,0,,11,10,12,13,14,15,0,0,0,0,0,0,11,10,12,13,14,15,0,0,0,0,0,0
,,,,,744,1961.ATO.MA,1961,ATO,M,A,1,goldengoose,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1713,1961.DU.MA,1961,DU,M,A,4,oldgold,156,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,1961.PKA.MB,1961,PKA,M,B,0,cheetah,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,12,1961.PKA.MA,1961,PKA,M,A,2,shark,152.8,0,0,0,0,,22,23,12,10,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,1423,1961.SAE.MA,1961,SAE,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,743,1962.ATO.MA,1962,ATO,M,A,1,goldengoose,0,0,147.5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,14,1962.PKA.MB,1962,PKA,M,B,0,cheetah,170.2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
